SCAF_1,X,yes
SCAF_2,1,yes
SCAF_3,2,yes
SCAF_4,3,yes
SCAF_5,4,yes
SCAF_6,5,yes
SCAF_7,6,yes
SCAF_8,7,yes
SCAF_9,8,yes
SCAF_10,9,yes
SCAF_11,10,yes
SCAF_12,11,yes
SCAF_13,12,yes
SCAF_14,13,yes
SCAF_15,14,yes
SCAF_16,15,yes
SCAF_17,16,yes
SCAF_18,17,yes
SCAF_19,18,yes
SCAF_20,19,yes
SCAF_21,20,yes
SCAF_22,21,yes
SCAF_23,22,yes
SCAF_24,23,yes
SCAF_25,24,yes
SCAF_26,25,yes
SCAF_27,26,yes
SCAF_28,27,yes
SCAF_29,28,yes
SCAF_30,29,yes
SCAF_31,30,yes
SCAF_32,31,yes
SCAF_33,32,yes
SCAF_34,33,yes
SCAF_35,34,yes
SCAF_36,35,yes
SCAF_37,36,yes
